"Entrada do Processo","Expediçao da Outorga","Expiração da Outorga","Situação da Outorga","Vazão Horária  (m³/h)","Volume Anual (m³)","Manancial","Latitude","Longitude","Tipo de Uso","Município ","Bacia Hidrográfica","Açude Monitorados"
"27/07/2000","27/07/2000","40386","Vencido","474.7","4140852","Açude","-7,81416666666667","-36,6797222222222","Abastecimento Urbano","Camalaú","Região do Alto Curso do Rio Paraíba","Cordeiro"
"17/03/2005","20/04/2005","39558","Vencido","31.48","22669","Açude","-7,56483333333333","-37,8083333333333","Irrigação","Juru","Piancó","Timbaúba"
"31/01/2008","18/07/2008","40012","Vencido","11.47","41300","Açude","-7,49685555555556","-38,0361388888889","Irrigação","Nova Olinda","Piancó","Saco"
"17/03/2005","31/05/2005","42114","Vencido","23.91","17216.75","Açude","-7,56488888888889","-37,8074722222222","Irrigação","Juru","Piancó","Timbaúba"
"31/01/2008","18/07/2008","40012","Vencido","7.19","25900","Açude","-7,44946944444444","-38,0515527777778","Irrigação","Pedra Branca","Piancó","Saco"
"22/07/2002","08/08/2002","37621","Vencido","93.8","648000","Açude","-7,51438888888889","-38,045","Irrigação","Nova Olinda","Piancó","Saco"
"17/03/2005","31/05/2005","42114","Vencido","30.9","22250","Açude","-7,56488888888889","-37,8074722222222","Irrigação","Juru","Piancó","Timbaúba"
"31/01/2008","15/07/2008","40009","Vencido","7.2","25900","Açude","-7,45013888888889","-38,0515","Irrigação","Pedra Branca","Piancó","Saco"
"17/03/2005","31/05/2005","42114","Vencido","30.9","22250","Açude","-7,56488888888889","-37,8074722222222","Irrigação","Juru","Piancó","Timbaúba"
"31/01/2008","16/07/2008","40010","Vencido","3.31","11900","Açude","-7,40738888888889","-38,0625833333333","Irrigação","Nova Olinda","Piancó","Saco"
"16/03/2005","31/05/2005","42114","Vencido","30.9","22250","Açude","-7,56488888888889","-37,8074722222222","Irrigação","Juru","Piancó","Timbaúba"
"31/01/2008","16/07/2008","40010","Vencido","9.56","34400","Açude","-7,40258333333333","-38,0683333333333","Irrigação","Nova Olinda","Piancó","Saco"
"17/03/2005","31/05/2005","42114","Vencido","30.9","22250","Açude","-7,56194444444444","-37,8229444444444","Irrigação","Juru","Piancó","Timbaúba"
"31/01/2008","16/07/2008","40010","Vencido","9.56","34400","Açude","-7,40258333333333","-38,0683333333333","Irrigação","Nova Olinda","Piancó","Saco"
"17/03/2005","31/05/2005","42114","Vencido","4.15","2995.08","Açude","-7,55344444444444","-37,8273611111111","Irrigação","Juru","Piancó","Timbaúba"
"10/02/2004","10/02/2004","38393","Vencido","3.3","6464.4","Açude","-7,17013888888889","-35,77125","Irrigação","Massaranduba","Mamanguape","Massaranduba"
"16/03/2005","31/05/2005","42114","Vencido","36.74","26456.25","Açude","-7,55344444444444","-37,8273611111111","Irrigação","Juru","Piancó","Timbaúba"
"14/02/2014","20/03/2014","42083","Vencido","19","36100","Açude","-7,09477777777778","-35,8633611111111","Irrigação","São Sebastião Lagoa de Roça","Mamanguape","São Sebastião"
